hour,day,hour_of_day,base_load_kw,solar_gen_kw,ev_plugged_in,ev_soc_kwh,ev_capacity_kwh,ev_daily_discharge_kwh,home_battery_soc_kwh,home_battery_capacity_kwh
0,0,0,0.8605,0.0,1,30.0,100.0,15.0,10.0,20.0
1,0,1,0.9351,0.0,1,30.0,100.0,15.0,10.0,20.0
2,0,2,0.972,0.0,1,30.0,100.0,15.0,10.0,20.0
3,0,3,0.948,0.0,1,30.0,100.0,15.0,10.0,20.0
4,0,4,1.1768,0.0,1,30.0,100.0,15.0,10.0,20.0
5,0,5,1.1361,0.0,1,30.0,100.0,15.0,10.0,20.0
6,0,6,1.2666,0.0,1,30.0,100.0,15.0,10.0,20.0
7,0,7,1.076,0.9992,0,15.0,100.0,15.0,10.0,20.0
8,0,8,1.3334,3.4933,0,15.0,100.0,15.0,10.0,20.0
9,0,9,1.6584,4.1123,0,15.0,100.0,15.0,10.0,20.0
10,0,10,1.4312,5.8107,0,15.0,100.0,15.0,10.0,20.0
11,0,11,1.3629,7.0364,0,15.0,100.0,15.0,10.0,20.0
12,0,12,1.7576,6.1583,0,15.0,100.0,15.0,10.0,20.0
13,0,13,1.6821,6.1393,0,15.0,100.0,15.0,10.0,20.0
14,0,14,1.3068,7.0524,0,15.0,100.0,15.0,10.0,20.0
15,0,15,1.406,8.8885,0,15.0,100.0,15.0,10.0,20.0
16,0,16,1.7065,6.7901,0,15.0,100.0,15.0,10.0,20.0
17,0,17,1.2748,4.2699,0,15.0,100.0,15.0,10.0,20.0
18,0,18,0.9812,3.1351,1,15.0,100.0,15.0,10.0,20.0
19,0,19,0.8459,1.6227,1,15.0,100.0,15.0,10.0,20.0
20,0,20,1.1273,0.0,1,15.0,100.0,15.0,10.0,20.0
21,0,21,0.8934,0.0,1,15.0,100.0,15.0,10.0,20.0
22,0,22,0.7127,0.0,1,15.0,100.0,15.0,10.0,20.0
23,0,23,0.7422,0.0,1,15.0,100.0,15.0,10.0,20.0
24,1,0,0.7385,0.0,1,15.0,100.0,15.0,10.0,20.0
25,1,1,0.6572,0.0,1,15.0,100.0,15.0,10.0,20.0
26,1,2,0.8737,0.0,1,15.0,100.0,15.0,10.0,20.0
27,1,3,1.0137,0.0,1,15.0,100.0,15.0,10.0,20.0
28,1,4,0.8766,0.0,1,15.0,100.0,15.0,10.0,20.0
29,1,5,0.9626,0.0,1,15.0,100.0,15.0,10.0,20.0
30,1,6,1.3087,0.0,1,15.0,100.0,15.0,10.0,20.0
31,1,7,1.5158,1.3909,0,10.0,100.0,15.0,10.0,20.0
32,1,8,1.2223,3.0658,0,10.0,100.0,15.0,10.0,20.0
33,1,9,1.28,5.3255,0,10.0,100.0,15.0,10.0,20.0
34,1,10,1.2174,7.4703,0,10.0,100.0,15.0,10.0,20.0
35,1,11,1.6244,6.9223,0,10.0,100.0,15.0,10.0,20.0
36,1,12,1.6372,7.1068,0,10.0,100.0,15.0,10.0,20.0
37,1,13,1.6658,3.6791,0,10.0,100.0,15.0,10.0,20.0
38,1,14,1.5945,5.8659,0,10.0,100.0,15.0,10.0,20.0
39,1,15,1.4642,5.1184,0,10.0,100.0,15.0,10.0,20.0
40,1,16,1.0879,4.6487,0,10.0,100.0,15.0,10.0,20.0
41,1,17,1.1647,3.2654,0,10.0,100.0,15.0,10.0,20.0
42,1,18,1.2022,2.9378,1,10.0,100.0,15.0,10.0,20.0
43,1,19,1.1271,1.4591,1,10.0,100.0,15.0,10.0,20.0
44,1,20,0.7921,0.0,1,10.0,100.0,15.0,10.0,20.0
45,1,21,0.8104,0.0,1,10.0,100.0,15.0,10.0,20.0
46,1,22,0.9458,0.0,1,10.0,100.0,15.0,10.0,20.0
47,1,23,0.8789,0.0,1,10.0,100.0,15.0,10.0,20.0
48,2,0,0.7485,0.0,1,10.0,100.0,15.0,10.0,20.0
49,2,1,0.8092,0.0,1,10.0,100.0,15.0,10.0,20.0
50,2,2,1.0398,0.0,1,10.0,100.0,15.0,10.0,20.0
51,2,3,1.0776,0.0,1,10.0,100.0,15.0,10.0,20.0
52,2,4,1.0056,0.0,1,10.0,100.0,15.0,10.0,20.0
53,2,5,1.2478,0.0,1,10.0,100.0,15.0,10.0,20.0
54,2,6,1.1176,0.0,1,10.0,100.0,15.0,10.0,20.0
55,2,7,1.3213,1.4652,0,10.0,100.0,15.0,10.0,20.0
56,2,8,1.5711,2.5252,0,10.0,100.0,15.0,10.0,20.0
57,2,9,1.3669,4.4888,0,10.0,100.0,15.0,10.0,20.0
58,2,10,1.53,6.5897,0,10.0,100.0,15.0,10.0,20.0
59,2,11,1.427,6.5311,0,10.0,100.0,15.0,10.0,20.0
60,2,12,1.7362,4.2018,0,10.0,100.0,15.0,10.0,20.0
61,2,13,1.5876,9.1448,0,10.0,100.0,15.0,10.0,20.0
62,2,14,1.4626,6.9043,0,10.0,100.0,15.0,10.0,20.0
63,2,15,1.5523,6.2495,0,10.0,100.0,15.0,10.0,20.0
64,2,16,1.3197,5.2657,0,10.0,100.0,15.0,10.0,20.0
65,2,17,1.2972,5.1134,0,10.0,100.0,15.0,10.0,20.0
66,2,18,1.2327,3.5859,1,10.0,100.0,15.0,10.0,20.0
67,2,19,1.0648,1.7306,1,10.0,100.0,15.0,10.0,20.0
68,2,20,1.0196,0.0,1,10.0,100.0,15.0,10.0,20.0
69,2,21,1.0321,0.0,1,10.0,100.0,15.0,10.0,20.0
70,2,22,0.8492,0.0,1,10.0,100.0,15.0,10.0,20.0
71,2,23,0.9622,0.0,1,10.0,100.0,15.0,10.0,20.0
72,3,0,0.8775,0.0,1,10.0,100.0,15.0,10.0,20.0
73,3,1,0.9533,0.0,1,10.0,100.0,15.0,10.0,20.0
74,3,2,0.8615,0.0,1,10.0,100.0,15.0,10.0,20.0
75,3,3,0.8258,0.0,1,10.0,100.0,15.0,10.0,20.0
76,3,4,1.1108,0.0,1,10.0,100.0,15.0,10.0,20.0
77,3,5,1.1323,0.0,1,10.0,100.0,15.0,10.0,20.0
78,3,6,1.0075,0.0,1,10.0,100.0,15.0,10.0,20.0
79,3,7,1.4529,1.83,0,10.0,100.0,15.0,10.0,20.0
80,3,8,1.4246,1.773,0,10.0,100.0,15.0,10.0,20.0
81,3,9,1.5599,4.6003,0,10.0,100.0,15.0,10.0,20.0
82,3,10,1.4954,6.9369,0,10.0,100.0,15.0,10.0,20.0
83,3,11,1.5324,7.9873,0,10.0,100.0,15.0,10.0,20.0
84,3,12,1.738,6.3329,0,10.0,100.0,15.0,10.0,20.0
85,3,13,1.441,9.0638,0,10.0,100.0,15.0,10.0,20.0
86,3,14,1.2003,5.802,0,10.0,100.0,15.0,10.0,20.0
87,3,15,1.4689,7.5666,0,10.0,100.0,15.0,10.0,20.0
88,3,16,1.3163,6.4026,0,10.0,100.0,15.0,10.0,20.0
89,3,17,1.388,5.2041,0,10.0,100.0,15.0,10.0,20.0
90,3,18,0.9879,3.6164,1,10.0,100.0,15.0,10.0,20.0
91,3,19,1.0237,1.4909,1,10.0,100.0,15.0,10.0,20.0
92,3,20,0.9076,0.0,1,10.0,100.0,15.0,10.0,20.0
93,3,21,0.9527,0.0,1,10.0,100.0,15.0,10.0,20.0
94,3,22,0.875,0.0,1,10.0,100.0,15.0,10.0,20.0
95,3,23,0.9727,0.0,1,10.0,100.0,15.0,10.0,20.0
96,4,0,0.8645,0.0,1,10.0,100.0,15.0,10.0,20.0
97,4,1,0.9175,0.0,1,10.0,100.0,15.0,10.0,20.0
98,4,2,0.9259,0.0,1,10.0,100.0,15.0,10.0,20.0
99,4,3,0.9219,0.0,1,10.0,100.0,15.0,10.0,20.0
100,4,4,1.0765,0.0,1,10.0,100.0,15.0,10.0,20.0
101,4,5,1.1269,0.0,1,10.0,100.0,15.0,10.0,20.0
102,4,6,1.1941,0.0,1,10.0,100.0,15.0,10.0,20.0
103,4,7,1.3182,1.7672,0,10.0,100.0,15.0,10.0,20.0
104,4,8,1.3164,3.0,0,10.0,100.0,15.0,10.0,20.0
105,4,9,1.4514,4.0279,0,10.0,100.0,15.0,10.0,20.0
106,4,10,1.415,7.2925,0,10.0,100.0,15.0,10.0,20.0
107,4,11,1.2874,4.9177,0,10.0,100.0,15.0,10.0,20.0
108,4,12,1.3787,6.8825,0,10.0,100.0,15.0,10.0,20.0
