hour,day,hour_of_day,base_load_kw,solar_gen_kw,ev_plugged_in,ev_soc_kwh,ev_capacity_kwh,ev_daily_discharge_kwh,home_battery_soc_kwh,home_battery_capacity_kwh
0,0,0,0.8656,0.0,1,30.0,100.0,15.0,10.0,20.0
1,0,1,0.7413,0.0,1,30.0,100.0,15.0,10.0,20.0
2,0,2,0.9663,0.0,1,30.0,100.0,15.0,10.0,20.0
3,0,3,0.8642,0.0,1,30.0,100.0,15.0,10.0,20.0
4,0,4,1.0011,0.0,1,30.0,100.0,15.0,10.0,20.0
5,0,5,1.0679,0.0,1,30.0,100.0,15.0,10.0,20.0
6,0,6,1.457,0.0,1,30.0,100.0,15.0,10.0,20.0
7,0,7,1.4392,1.8799,0,15.0,100.0,15.0,10.0,20.0
8,0,8,1.4826,3.2523,0,15.0,100.0,15.0,10.0,20.0
9,0,9,1.4864,4.4627,0,15.0,100.0,15.0,10.0,20.0
10,0,10,1.5555,6.4684,0,15.0,100.0,15.0,10.0,20.0
11,0,11,1.4489,7.5686,0,15.0,100.0,15.0,10.0,20.0
12,0,12,1.2975,5.9478,0,15.0,100.0,15.0,10.0,20.0
13,0,13,1.6705,5.6547,0,15.0,100.0,15.0,10.0,20.0
14,0,14,1.3189,5.0955,0,15.0,100.0,15.0,10.0,20.0
15,0,15,1.555,5.3415,0,15.0,100.0,15.0,10.0,20.0
16,0,16,1.443,5.7427,0,15.0,100.0,15.0,10.0,20.0
17,0,17,1.3561,3.8118,0,15.0,100.0,15.0,10.0,20.0
18,0,18,1.2798,3.2108,1,15.0,100.0,15.0,10.0,20.0
19,0,19,0.9467,1.1405,1,15.0,100.0,15.0,10.0,20.0
20,0,20,0.9814,0.0,1,15.0,100.0,15.0,10.0,20.0
21,0,21,0.926,0.0,1,15.0,100.0,15.0,10.0,20.0
22,0,22,0.9268,0.0,1,15.0,100.0,15.0,10.0,20.0
23,0,23,0.8071,0.0,1,15.0,100.0,15.0,10.0,20.0
24,1,0,0.754,0.0,1,15.0,100.0,15.0,10.0,20.0
25,1,1,0.8827,0.0,1,15.0,100.0,15.0,10.0,20.0
26,1,2,0.8536,0.0,1,15.0,100.0,15.0,10.0,20.0
27,1,3,0.8494,0.0,1,15.0,100.0,15.0,10.0,20.0
28,1,4,1.0623,0.0,1,15.0,100.0,15.0,10.0,20.0
29,1,5,1.0609,0.0,1,15.0,100.0,15.0,10.0,20.0
30,1,6,1.181,0.0,1,15.0,100.0,15.0,10.0,20.0
31,1,7,1.3295,1.6589,0,10.0,100.0,15.0,10.0,20.0
32,1,8,1.2165,1.375,0,10.0,100.0,15.0,10.0,20.0
33,1,9,1.5765,3.5743,0,10.0,100.0,15.0,10.0,20.0
34,1,10,1.5056,5.8437,0,10.0,100.0,15.0,10.0,20.0
35,1,11,1.3499,6.5636,0,10.0,100.0,15.0,10.0,20.0
36,1,12,1.6046,8.4993,0,10.0,100.0,15.0,10.0,20.0
37,1,13,1.6141,9.4309,0,10.0,100.0,15.0,10.0,20.0
