hour,day,hour_of_day,base_load_kw,solar_gen_kw,ev_plugged_in,ev_soc_kwh,ev_capacity_kwh,ev_daily_discharge_kwh,home_battery_soc_kwh,home_battery_capacity_kwh
0,0,0,0.3585,0.0,1,18.0,60.0,12.0,5.0,10.0
1,0,1,0.3896,0.0,1,18.0,60.0,12.0,5.0,10.0
2,0,2,0.405,0.0,1,18.0,60.0,12.0,5.0,10.0
3,0,3,0.395,0.0,1,18.0,60.0,12.0,5.0,10.0
4,0,4,0.4903,0.0,1,18.0,60.0,12.0,5.0,10.0
5,0,5,0.4734,0.0,1,18.0,60.0,12.0,5.0,10.0
6,0,6,0.5278,0.0,1,18.0,60.0,12.0,5.0,10.0
7,0,7,0.4483,0.4996,0,6.0,60.0,12.0,5.0,10.0
8,0,8,0.5556,1.7466,0,6.0,60.0,12.0,5.0,10.0
9,0,9,0.691,2.0561,0,6.0,60.0,12.0,5.0,10.0
10,0,10,0.5963,2.9054,0,6.0,60.0,12.0,5.0,10.0
11,0,11,0.5679,3.5181,0,6.0,60.0,12.0,5.0,10.0
12,0,12,0.7323,3.0791,0,6.0,60.0,12.0,5.0,10.0
13,0,13,0.7009,3.0696,0,6.0,60.0,12.0,5.0,10.0
14,0,14,0.5445,3.5262,0,6.0,60.0,12.0,5.0,10.0
15,0,15,0.5858,4.4442,0,6.0,60.0,12.0,5.0,10.0
16,0,16,0.711,3.3951,0,6.0,60.0,12.0,5.0,10.0
17,0,17,0.5312,2.1349,0,6.0,60.0,12.0,5.0,10.0
18,0,18,0.4088,1.5676,1,6.0,60.0,12.0,5.0,10.0
19,0,19,0.3525,0.8114,1,6.0,60.0,12.0,5.0,10.0
20,0,20,0.4697,0.0,1,6.0,60.0,12.0,5.0,10.0
21,0,21,0.3723,0.0,1,6.0,60.0,12.0,5.0,10.0
22,0,22,0.2969,0.0,1,6.0,60.0,12.0,5.0,10.0
23,0,23,0.3093,0.0,1,6.0,60.0,12.0,5.0,10.0
24,1,0,0.3077,0.0,1,6.0,60.0,12.0,5.0,10.0
25,1,1,0.2739,0.0,1,6.0,60.0,12.0,5.0,10.0
26,1,2,0.3641,0.0,1,6.0,60.0,12.0,5.0,10.0
27,1,3,0.4224,0.0,1,6.0,60.0,12.0,5.0,10.0
28,1,4,0.3653,0.0,1,6.0,60.0,12.0,5.0,10.0
29,1,5,0.4011,0.0,1,6.0,60.0,12.0,5.0,10.0
30,1,6,0.5453,0.0,1,6.0,60.0,12.0,5.0,10.0
31,1,7,0.6316,0.6955,0,6.0,60.0,12.0,5.0,10.0
32,1,8,0.5093,1.5329,0,6.0,60.0,12.0,5.0,10.0
33,1,9,0.5333,2.6627,0,6.0,60.0,12.0,5.0,10.0
34,1,10,0.5072,3.7352,0,6.0,60.0,12.0,5.0,10.0
35,1,11,0.6768,3.4611,0,6.0,60.0,12.0,5.0,10.0
36,1,12,0.6822,3.5534,0,6.0,60.0,12.0,5.0,10.0
37,1,13,0.6941,1.8395,0,6.0,60.0,12.0,5.0,10.0
38,1,14,0.6644,2.9329,0,6.0,60.0,12.0,5.0,10.0
39,1,15,0.6101,2.5592,0,6.0,60.0,12.0,5.0,10.0
40,1,16,0.4533,2.3244,0,6.0,60.0,12.0,5.0,10.0
41,1,17,0.4853,1.6327,0,6.0,60.0,12.0,5.0,10.0
42,1,18,0.5009,1.4689,1,6.0,60.0,12.0,5.0,10.0
43,1,19,0.4696,0.7295,1,6.0,60.0,12.0,5.0,10.0
44,1,20,0.3301,0.0,1,6.0,60.0,12.0,5.0,10.0
45,1,21,0.3377,0.0,1,6.0,60.0,12.0,5.0,10.0
46,1,22,0.3941,0.0,1,6.0,60.0,12.0,5.0,10.0
47,1,23,0.3662,0.0,1,6.0,60.0,12.0,5.0,10.0
48,2,0,0.3119,0.0,1,6.0,60.0,12.0,5.0,10.0
49,2,1,0.3372,0.0,1,6.0,60.0,12.0,5.0,10.0
50,2,2,0.4332,0.0,1,6.0,60.0,12.0,5.0,10.0
51,2,3,0.449,0.0,1,6.0,60.0,12.0,5.0,10.0
52,2,4,0.419,0.0,1,6.0,60.0,12.0,5.0,10.0
53,2,5,0.5199,0.0,1,6.0,60.0,12.0,5.0,10.0
54,2,6,0.4657,0.0,1,6.0,60.0,12.0,5.0,10.0
55,2,7,0.5505,0.7326,0,6.0,60.0,12.0,5.0,10.0
56,2,8,0.6546,1.2626,0,6.0,60.0,12.0,5.0,10.0
57,2,9,0.5695,2.2444,0,6.0,60.0,12.0,5.0,10.0
58,2,10,0.6375,3.2949,0,6.0,60.0,12.0,5.0,10.0
59,2,11,0.5946,3.2655,0,6.0,60.0,12.0,5.0,10.0
60,2,12,0.7234,2.1009,0,6.0,60.0,12.0,5.0,10.0
61,2,13,0.6615,4.5724,0,6.0,60.0,12.0,5.0,10.0
62,2,14,0.6094,3.4521,0,6.0,60.0,12.0,5.0,10.0
63,2,15,0.6468,3.1247,0,6.0,60.0,12.0,5.0,10.0
64,2,16,0.5499,2.6329,0,6.0,60.0,12.0,5.0,10.0
65,2,17,0.5405,2.5566,0,6.0,60.0,12.0,5.0,10.0
66,2,18,0.5136,1.7929,1,6.0,60.0,12.0,5.0,10.0
67,2,19,0.4436,0.8653,1,6.0,60.0,12.0,5.0,10.0
68,2,20,0.4248,0.0,1,6.0,60.0,12.0,5.0,10.0
