hour,day,hour_of_day,base_load_kw,solar_gen_kw,ev_plugged_in,ev_soc_kwh,ev_capacity_kwh,ev_daily_discharge_kwh,home_battery_soc_kwh,home_battery_capacity_kwh
0,0,0,0.4006,0.0,1,18.0,60.0,12.0,5.0,10.0
1,0,1,0.3757,0.0,1,18.0,60.0,12.0,5.0,10.0
2,0,2,0.4007,0.0,1,18.0,60.0,12.0,5.0,10.0
3,0,3,0.4009,0.0,1,18.0,60.0,12.0,5.0,10.0
4,0,4,0.4557,0.0,1,18.0,60.0,12.0,5.0,10.0
5,0,5,0.497,0.0,1,18.0,60.0,12.0,5.0,10.0
6,0,6,0.4849,0.0,1,18.0,60.0,12.0,5.0,10.0
7,0,7,0.654,0.8619,0,6.0,60.0,12.0,5.0,10.0
8,0,8,0.6109,1.3828,0,6.0,60.0,12.0,5.0,10.0
9,0,9,0.5933,2.4635,0,6.0,60.0,12.0,5.0,10.0
10,0,10,0.5746,3.1853,0,6.0,60.0,12.0,5.0,10.0
11,0,11,0.6704,2.966,0,6.0,60.0,12.0,5.0,10.0
12,0,12,0.7805,4.8039,0,6.0,60.0,12.0,5.0,10.0
13,0,13,0.6492,1.8763,0,6.0,60.0,12.0,5.0,10.0
14,0,14,0.6973,3.7537,0,6.0,60.0,12.0,5.0,10.0
15,0,15,0.6194,2.5105,0,6.0,60.0,12.0,5.0,10.0
16,0,16,0.6367,3.1446,0,6.0,60.0,12.0,5.0,10.0
17,0,17,0.5717,2.757,0,6.0,60.0,12.0,5.0,10.0
18,0,18,0.5267,1.4192,1,6.0,60.0,12.0,5.0,10.0
19,0,19,0.5632,0.7318,1,6.0,60.0,12.0,5.0,10.0
20,0,20,0.4306,0.0,1,6.0,60.0,12.0,5.0,10.0
21,0,21,0.3441,0.0,1,6.0,60.0,12.0,5.0,10.0
22,0,22,0.3404,0.0,1,6.0,60.0,12.0,5.0,10.0
23,0,23,0.3992,0.0,1,6.0,60.0,12.0,5.0,10.0
24,1,0,0.4013,0.0,1,6.0,60.0,12.0,5.0,10.0
25,1,1,0.3595,0.0,1,6.0,60.0,12.0,5.0,10.0
26,1,2,0.3907,0.0,1,6.0,60.0,12.0,5.0,10.0
27,1,3,0.4025,0.0,1,6.0,60.0,12.0,5.0,10.0
28,1,4,0.5006,0.0,1,6.0,60.0,12.0,5.0,10.0
29,1,5,0.4234,0.0,1,6.0,60.0,12.0,5.0,10.0
30,1,6,0.4462,0.0,1,6.0,60.0,12.0,5.0,10.0
31,1,7,0.5322,1.0271,0,6.0,60.0,12.0,5.0,10.0
32,1,8,0.5599,1.477,0,6.0,60.0,12.0,5.0,10.0
33,1,9,0.59,2.6073,0,6.0,60.0,12.0,5.0,10.0
34,1,10,0.6551,2.7718,0,6.0,60.0,12.0,5.0,10.0
35,1,11,0.6853,2.6808,0,6.0,60.0,12.0,5.0,10.0
36,1,12,0.7041,3.9241,0,6.0,60.0,12.0,5.0,10.0
37,1,13,0.6895,3.7098,0,6.0,60.0,12.0,5.0,10.0
38,1,14,0.5735,4.0819,0,6.0,60.0,12.0,5.0,10.0
39,1,15,0.5537,4.3531,0,6.0,60.0,12.0,5.0,10.0
40,1,16,0.6694,3.3898,0,6.0,60.0,12.0,5.0,10.0
41,1,17,0.4635,2.9083,0,6.0,60.0,12.0,5.0,10.0
42,1,18,0.5818,1.5981,1,6.0,60.0,12.0,5.0,10.0
43,1,19,0.5181,0.7588,1,6.0,60.0,12.0,5.0,10.0
44,1,20,0.4952,0.0,1,6.0,60.0,12.0,5.0,10.0
45,1,21,0.4028,0.0,1,6.0,60.0,12.0,5.0,10.0
46,1,22,0.3961,0.0,1,6.0,60.0,12.0,5.0,10.0
47,1,23,0.3435,0.0,1,6.0,60.0,12.0,5.0,10.0
48,2,0,0.3974,0.0,1,6.0,60.0,12.0,5.0,10.0
49,2,1,0.409,0.0,1,6.0,60.0,12.0,5.0,10.0
